participant_id,level_name,game_batch,game_id,trial_id,human_conf,human_AI_conf,AI_conf,Ai_calibrated_conf,true_prob,nr_reds_shown,initial_decision,final_decision,outcome,win,points
669e9f5cc2490,level_A,2,-2,0,80,80,0,,0.0,0,Red,Red,Black,-1,-1
669e9f5cc2490,level_A,2,-3,1,61,61,54,,60.0,14,Black,Black,Black,1,0
669e9f5cc2490,level_A,2,62,2,37,37,62,,49.23076923076923,7,Black,Black,Black,1,1
669e9f5cc2490,level_A,2,69,3,93,93,85,,96.92307692307692,21,Red,Red,Red,1,2
669e9f5cc2490,level_A,2,55,4,60,60,31,,43.07692307692308,16,Red,Red,Red,1,3
669e9f5cc2490,level_A,2,65,5,71,71,69,,81.53846153846153,17,Red,Red,Black,-1,2
669e9f5cc2490,level_A,2,61,6,81,81,54,,66.15384615384615,18,Red,Red,Red,1,3
669e9f5cc2490,level_A,2,60,7,71,39,54,,41.53846153846154,3,Black,Black,Black,1,4
669e9f5cc2490,level_A,2,56,8,10,10,38,,26.15384615384616,2,Black,Black,Black,1,5
669e9f5cc2490,level_A,2,50,9,9,9,15,,3.076923076923077,1,Black,Black,Black,1,6
669e9f5cc2490,level_A,2,64,10,19,19,69,,56.92307692307692,3,Black,Black,Black,1,7
669e9f5cc2490,level_A,2,66,11,44,44,77,,64.61538461538461,10,Red,Red,Black,-1,6
669e9f5cc2490,level_A,2,67,12,90,90,77,,89.23076923076924,20,Red,Red,Red,1,7
669e9f5cc2490,level_A,2,49,13,33,33,8,,13.846153846153848,7,Black,Black,Black,1,8
669e9f5cc2490,level_A,2,-1,14,100,100,100,,100.0,21,Red,Red,Red,1,9
669e9f5cc2490,level_A,2,70,15,54,54,92,,86.15384615384616,14,Red,Red,Red,1,10
669e9f5cc2490,level_A,2,63,16,70,70,62,,73.84615384615385,19,Red,Red,Black,-1,9
669e9f5cc2490,level_A,2,68,17,39,39,85,,72.3076923076923,7,Black,Black,Black,1,10
669e9f5cc2490,level_A,2,57,18,72,72,38,,50.76923076923077,18,Red,Red,Red,1,11
669e9f5cc2490,level_A,2,59,19,27,27,46,,58.46153846153847,15,Red,Red,Red,1,12
669e9f5cc2490,level_A,2,54,20,4,4,31,,18.461538461538463,0,Black,Black,Red,-1,11
669e9f5cc2490,level_A,2,71,21,100,100,92,,98.46153846153848,21,Red,Red,Red,1,12
669e9f5cc2490,level_A,2,58,22,7,7,46,,33.84615384615385,3,Black,Black,Red,-1,11
669e9f5cc2490,level_A,2,48,23,5,5,8,,1.5384615384615383,0,Black,Black,Black,1,12
669e9f5cc2490,level_A,2,53,24,42,42,23,,35.38461538461539,14,Red,Red,Red,1,13
669e9f5cc2490,level_A,2,51,25,44,44,15,,27.692307692307693,11,Black,Black,Black,1,14
669e9f5cc2490,level_A,2,52,26,0,0,23,,10.76923076923077,0,Black,Black,Black,1,15
669e9f5ce72ca,level_A,3,-2,0,0,0,0,,0.0,0,Black,Black,Black,1,1
669e9f5ce72ca,level_A,3,-3,1,63,62,54,,60.0,14,Red,Red,Red,1,2
669e9f5ce72ca,level_A,3,78,2,5,8,31,,18.461538461538463,3,Black,Black,Red,-1,1
669e9f5ce72ca,level_A,3,94,3,53,69,92,,86.15384615384616,12,Black,Red,Red,1,2
669e9f5ce72ca,level_A,3,92,4,36,75,85,,72.3076923076923,9,Black,Red,Black,-1,1
669e9f5ce72ca,level_A,3,84,5,34,40,54,,41.53846153846154,5,Black,Black,Black,1,2
669e9f5ce72ca,level_A,3,85,6,85,81,54,,66.15384615384615,18,Red,Red,Black,-1,1
669e9f5ce72ca,level_A,3,88,7,35,35,69,,56.92307692307692,9,Black,Black,Red,-1,0
669e9f5ce72ca,level_A,3,87,8,81,81,62,,73.84615384615385,19,Red,Red,Red,1,1
669e9f5ce72ca,level_A,3,91,9,100,100,77,,89.23076923076924,21,Red,Red,Red,1,2
669e9f5ce72ca,level_A,3,73,10,37,37,8,,13.846153846153848,5,Black,Black,Black,1,3
669e9f5ce72ca,level_A,3,86,11,34,34,62,,49.23076923076923,7,Black,Black,Black,1,4
669e9f5ce72ca,level_A,3,79,12,65,65,31,,43.07692307692308,15,Red,Red,Black,-1,3
669e9f5ce72ca,level_A,3,76,13,11,11,23,,10.76923076923077,2,Black,Black,Black,1,4
669e9f5ce72ca,level_A,3,-1,14,100,100,100,,100.0,21,Red,Red,Red,1,5
669e9f5ce72ca,level_A,3,83,15,80,80,46,,58.46153846153847,16,Red,Red,Red,1,6
669e9f5ce72ca,level_A,3,75,16,62,62,15,,27.692307692307693,13,Red,Red,Black,-1,5
669e9f5ce72ca,level_A,3,89,17,100,100,69,,81.53846153846153,21,Red,Red,Red,1,6
669e9f5ce72ca,level_A,3,82,18,8,8,46,,33.84615384615385,2,Black,Black,Red,-1,5
669e9f5ce72ca,level_A,3,72,19,0,0,8,,1.5384615384615383,0,Black,Black,Black,1,6
669e9f5ce72ca,level_A,3,77,20,64,64,23,,35.38461538461539,10,Red,Red,Black,-1,5
669e9f5ce72ca,level_A,3,80,21,6,6,38,,26.15384615384616,1,Black,Black,Red,-1,4
669e9f5ce72ca,level_A,3,74,22,0,0,15,,3.076923076923077,0,Black,Black,Black,1,5
669e9f5ce72ca,level_A,3,81,23,84,84,38,,50.76923076923077,19,Red,Red,Black,-1,4
669e9f5ce72ca,level_A,3,90,24,25,25,77,,64.61538461538461,8,Black,Black,Red,-1,3
669e9f5ce72ca,level_A,3,95,25,100,100,92,,98.46153846153848,21,Red,Red,Red,1,4
669e9f5ce72ca,level_A,3,93,26,100,100,85,,96.92307692307692,21,Red,Red,Red,1,5
669ea009e06f7,level_A,1,-2,0,0,100,0,,0.0,0,Black,Black,Black,1,1
669ea009e06f7,level_A,1,-3,1,70,61,54,,60.0,14,Red,Red,Red,1,2
669ea009e06f7,level_A,1,38,2,31,51,62,,49.23076923076923,6,Black,Black,Black,1,3
669ea009e06f7,level_A,1,32,3,0,0,38,,26.15384615384616,3,Black,Black,Black,1,4
669ea009e06f7,level_A,1,31,4,92,92,31,,43.07692307692308,15,Red,Red,Black,-1,3
